Item Name,Price (₹),Category,Veg/Non-Veg,Description
Egg Pakora,120,Egg & Fish Specials,Non-Veg,
Fish Cutlet,175,Egg & Fish Specials,Non-Veg,
Fish Fingers,195,Egg & Fish Specials,Non-Veg,
Fish Chilli Dry,225,Egg & Fish Specials,Non-Veg,
Fish Salt & Pepper,230,Egg & Fish Specials,Non-Veg,

Veg Manchow Soup,110,Soup - Veg,Veg,
Veg Sweet & Corn Soup,110,Soup - Veg,Veg,
Veg Hot & Sour Soup,110,Soup - Veg,Veg,
Veg Clear Soup,110,Soup - Veg,Veg,
Cream of Tomato Soup,110,Soup - Veg,Veg,
Cream of Mushroom Soup,115,Soup - Veg,Veg,
Lemon Coriander Soup,115,Soup - Veg,Veg,
Veg Noodle Clear Soup,110,Soup - Veg,Veg,

Chicken Manchow Soup,135,Soups - Chicken,Non-Veg,
Chicken Sweet & Corn Soup,130,Soups - Chicken,Non-Veg,
Chicken Hot & Sour Soup,130,Soups - Chicken,Non-Veg,
Chicken Clear Soup,130,Soups - Chicken,Non-Veg,
Chicken Noodle Soup,130,Soups - Chicken,Non-Veg,
Cream of Chicken Soup,140,Soups - Chicken,Non-Veg,
Noodle Clear Chicken Soup,125,Soups - Chicken,Non-Veg,

Chicken Salt & Pepper,165,Chicken Specials,Non-Veg,
Chicken Fingers,160,Chicken Specials,Non-Veg,
Chicken Pakoda,150,Chicken Specials,Non-Veg,
Chicken 65 (8 pcs),175,Chicken Specials,Non-Veg,
Chilli Chicken (Gravy) (8 pcs),180,Chicken Specials,Non-Veg,
Chicken Lollipop,170,Chicken Specials,Non-Veg,
Chicken Dry Fry,175,Chicken Specials,Non-Veg,
Crispy Chicken,210,Chicken Specials,Non-Veg,
Chicken Drumstick,210,Chicken Specials,Non-Veg,
Dragon Chicken,250,Chicken Specials,Non-Veg,
Chilli Chicken Dry (8 pcs),170,Chicken Specials,Non-Veg,
Chicken Manchurian Dry,160,Chicken Specials,Non-Veg,

Chilli Prawns Dry,260,Seafood Specials,Non-Veg,

Steamed Rice,60,Classic Rice,Veg,
Jeera Rice,65,Classic Rice,Veg,
Peas Pulao,145,Classic Rice,Veg,
Veg Pulao,150,Classic Rice,Veg,
Paneer Pulao,185,Classic Rice,Veg,

Veg Fried Rice,130,Fried Rice,Veg,
Veg Schezwan Fried Rice,160,Fried Rice,Veg,
Hong Kong Fried Rice,160,Fried Rice,Veg,
Chicken Fried Rice,165,Fried Rice,Non-Veg,
Chicken Schezwan Fried Rice,175,Fried Rice,Non-Veg,
Hong Kong Chicken Fried Rice,175,Fried Rice,Non-Veg,
Mixed Fried Rice,180,Fried Rice,Non-Veg,

Paneer Pakora,165,Veg Starters,Veg,
Chilli Paneer Dry,180,Veg Starters,Veg,
Crispy Paneer,190,Veg Starters,Veg,
Veg Pakora,100,Veg Starters,Veg,
Chilli Potato Dry,130,Veg Starters,Veg,
Chilli Mushroom Dry,200,Veg Starters,Veg,
Crispy Chilli Baby Corn,220,Veg Starters,Veg,
Mushroom Salt & Pepper,220,Veg Starters,Veg,
French Fries,85,Veg Starters,Veg,

Baby Corn Mushroom Masala,180,Veg Main Course,Veg,
Mutter Paneer,180,Veg Main Course,Veg,
Paneer Varta,180,Veg Main Course,Veg,
Paneer Butter Masala,200,Veg Main Course,Veg,
Paneer Do Pyaza,190,Veg Main Course,Veg,
Kadhai Paneer,190,Veg Main Course,Veg,
Shahi Paneer,190,Veg Main Course,Veg,
Paneer Malai Kofta,180,Veg Main Course,Veg,
Paneer Shahi Korma,210,Veg Main Course,Veg,

Dal Fry,95,Dal & Kofta,Veg,
Dal Tadka,110,Dal & Kofta,Veg,
Veg Kofta Masala,160,Dal & Kofta,Veg,

Aloo Dum,105,Aloo Specials,Veg,
Aloo Jeera,95,Aloo Specials,Veg,
Aloo Mutter,115,Aloo Specials,Veg,
Kashmiri Dum Aloo,150,Aloo Specials,Veg,

Mix Veg,140,Veg Delight,Veg,
Chana Masala,130,Veg Delight,Veg,
Veg Tawa Masala,135,Veg Delight,Veg,
Mushroom Masala,160,Veg Delight,Veg,

Egg Omelette,45,Non-Veg Main Course,Non-Veg,
Egg Bhurji,55,Non-Veg Main Course,Non-Veg,
Egg Curry,80,Non-Veg Main Course,Non-Veg,
Egg Masala,95,Non-Veg Main Course,Non-Veg,
Fish Curry,240,Non-Veg Main Course,Non-Veg,
Fish Masala,250,Non-Veg Main Course,Non-Veg,
Chicken Varta,210,Non-Veg Main Course,Non-Veg,
Chicken Chaap,180,Non-Veg Main Course,Non-Veg,
Chicken Curry,280,Non-Veg Main Course,Non-Veg,
