Item Name,Price (₹),Category,Veg/Non-Veg,Description
Veg Thali,65,Thali,Veg,
Chicken Thali,135,Thali,Non-Veg,
Fish Thali,110,Thali,Non-Veg,
Mutton Thali,230,Thali,Non-Veg,
Roti Meal Chicken,90,Meal,Non-Veg,
Roti Meal Mutton,180,Meal,Non-Veg,
Chicken (2 pcs),70,Main,Non-Veg,
Mutton (2 pcs),160,Main,Non-Veg,
Fish Per Pc,40,Main,Non-Veg,
Extra Rice,10,Add-on,Veg,
Egg Tadka Half,45,Tadka,Non-Veg,
Egg Tadka Full,80,Tadka,Non-Veg,
Plain Tadka Half,45,Tadka,Veg,
Plain Tadka Full,75,Tadka,Veg,
Roti,7,Bread,Veg,
